Mon:11:17:49,  0.48, 0.09, 0.30, 0.53, 0.17, 0.22, 4.93
Mon:11:17:49, dity: 46.31, Temp: 77.03, TVOC: 93.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.542 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.17, 0.22, 4.93
Mon:11:17:49, dity: 46.31, Temp: 77.03, TVOC: 93.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.542 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.17, 0.22, 4.93
Mon:11:17:51, setup done
Mon:11:17:51, Humidity: 46.32, Temp: 77.05, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.542 ppm, 1.52, 0.46, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:17:52, Humidity: 46.33, Temp: 77.07, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.542 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:17:53, Humidity: 46.30, Temp: 77.03, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.542 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.17, 0.21, 4.90
Mon:11:17:54, Humidity: 46.29, Temp: 77.05, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.542 ppm, 1.51, 0.48, 0.08, 0.29, 0.54, 0.16, 0.21, 4.88
Mon:11:17:55, Humidity: 46.32, Temp: 77.05, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.542 ppm, 1.51, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:17:56, Humidity: 46.30, Temp: 77.07, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.540 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
Mon:11:17:57, Humidity: 46.30, Temp: 77.05, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.540 ppm, 1.50, 0.47, 0.09, 0.30, 0.52, 0.16, 0.21, 4.92
Mon:11:17:58, Humidity: 46.29, Temp: 77.05, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.540 ppm, 1.51, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
