2019-05-28 17:52:38, 7, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:52:38, ity: 67.76, Temp: 58.67, TVOC: 287.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:52:38, ity: 67.76, Temp: 58.67, TVOC: 287.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:52:39, setup done
2019-05-28 17:52:40, Humidity: 67.78, Temp: 58.64, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:52:41, Humidity: 67.78, Temp: 58.60, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.90, 0.22, 0.07, 0.25, 0.43, 0.18, 0.21, 5.00
2019-05-28 17:52:42, Humidity: 67.76, Temp: 58.58, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:52:43, Humidity: 67.78, Temp: 58.52, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.92, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:52:44, Humidity: 67.78, Temp: 58.52, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.92, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.88
2019-05-28 17:52:46, Humidity: 67.79, Temp: 58.48, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:52:47, Humidity: 67.78, Temp: 58.48, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.92, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:52:48, Humidity: 67.80, Temp: 58.44, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:52:49, Humidity: 67.83, Temp: 58.40, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:52:50, Humidity: 67.84, Temp: 58.40, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.97
