2019-05-29 18:55:55, y: 61.53, Temp: 59.06, TVOC: 57.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.017 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 5.00
2019-05-29 18:55:55, dity: 61.53, Temp: 59.06, TVOC: 57.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.017 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 5.00
2019-05-29 18:55:57, setup done
2019-05-29 18:55:57, Humidity: 61.57, Temp: 59.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 5.00
2019-05-29 18:55:58, Humidity: 61.58, Temp: 59.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.06, 0.23, 0.41, 0.17, 0.19, 4.90
2019-05-29 18:55:59, Humidity: 61.59, Temp: 59.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:56:01, Humidity: 61.60, Temp: 59.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.23, 0.06, 0.23, 0.40, 0.16, 0.19, 5.00
2019-05-29 18:56:02, Humidity: 61.62, Temp: 59.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.16, 0.19, 4.94
2019-05-29 18:56:03, Humidity: 61.61, Temp: 59.10, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:04, Humidity: 61.63, Temp: 59.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.06, 0.22, 0.41, 0.16, 0.19, 5.00
2019-05-29 18:56:05, Humidity: 61.64, Temp: 59.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:56:06, Humidity: 61.66, Temp: 59.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:07, Humidity: 61.65, Temp: 59.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.17, 0.18, 4.90
2019-05-29 18:56:08, Humidity: 61.65, Temp: 59.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.76, 0.23, 0.07, 0.22, 0.41, 0.17, 0.19, 4.91
2019-05-29 18:56:09, Humidity: 61.67, Temp: 59.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 4.92
2019-05-29 18:56:10, Humidity: 61.67, Temp: 59.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.94
2019-05-29 18:56:13, Humidity: 61.68, Temp: 59.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.23, 0.06, 0.23, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:13, Humidity: 61.67, Temp: 59.16, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:56:14, Humidity: 61.68, Temp: 59.14, TVOC: 8.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.18, 4.88
2019-05-29 18:56:15, Humidity: 61.71, Temp: 59.14, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:16, Humidity: 61.71, Temp: 59.18, TVOC: 1.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 5.00
2019-05-29 18:56:18, Humidity: 61.71, Temp: 59.14, TVOC: 5.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.22, 0.41, 0.17, 0.19, 4.92
2019-05-29 18:56:19, Humidity: 61.71, Temp: 59.16, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
