2019-06-02 21:52:33,  0.25, 0.46, 0.18, 0.22, 4.89
2019-06-02 21:52:33, setup done
2019-06-02 21:52:33, Humidity: 56.08, Temp: 74.10, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.46, 0.18, 0.22, 4.89
2019-06-02 21:52:34, Humidity: 56.07, Temp: 74.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.06, 0.25, 0.47, 0.18, 0.22, 4.94
2019-06-02 21:52:36, Humidity: 56.07, Temp: 74.10, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.90
2019-06-02 21:52:37, Humidity: 56.06, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:52:38, Humidity: 56.07, Temp: 74.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:52:39, Humidity: 56.05, Temp: 74.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.84
2019-06-02 21:52:40, Humidity: 56.05, Temp: 74.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:52:41, Humidity: 56.04, Temp: 74.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.27, 0.07, 0.25, 0.47, 0.18, 0.22, 4.98
2019-06-02 21:52:42, Humidity: 56.04, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:52:43, Humidity: 56.02, Temp: 74.06, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 5.00
2019-06-02 21:52:44, Humidity: 56.05, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.045 ppm, 0.87, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:52:45, Humidity: 56.01, Temp: 74.10, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.84
2019-06-02 21:52:47, Humidity: 56.01, Temp: 74.10, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.92
2019-06-02 21:52:48, Humidity: 56.00, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.21, 4.90
2019-06-02 21:52:50, Humidity: 55.99, Temp: 74.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.93
2019-06-02 21:52:50, Humidity: 55.99, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.92
2019-06-02 21:52:51, Humidity: 55.99, Temp: 74.10, TVOC: 0.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.06, 0.25, 0.47, 0.18, 0.22, 4.84
2019-06-02 21:52:52, Humidity: 55.99, Temp: 74.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.045 ppm, 0.86, 0.27, 0.07, 0.25, 0.47, 0.18, 0.22, 4.90
2019-06-02 21:52:53, Humidity: 55.99, Temp: 74.10, TVOC: 4.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.045 ppm, 0.85, 0.28, 0.06, 0.24, 0.46, 0.18, 0.22, 4.89
2019-06-02 21:52:57, Humidity: 55.99, Temp: 74.14, TVOC: 1.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.045 ppm, 0.85, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:52:57, Humidity: 55.96, Temp: 74.12, TVOC: 3.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.19, 0.22, 4.89
2019-06-02 21:52:57, Humidity: 55.97, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:52:58, Humidity: 55.97, Temp: 74.12, TVOC: 5.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.88
2019-06-02 21:52:59, Humidity: 55.98, Temp: 74.12, TVOC: 3.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.044 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.19, 0.22, 4.91
2019-06-02 21:53:01, Humidity: 55.98, Temp: 74.08, TVOC: 4.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.044 ppm, 0.86, 0.28, 0.07, 0.25, 0.46, 0.18, 0.22, 4.91
2019-06-02 21:53:01, Humidity: 55.97, Temp: 74.10, TVOC: 9.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.044 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.98
2019-06-02 21:53:02, Humidity: 55.97, Temp: 74.10, TVOC: 0.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.044 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.92
2019-06-02 21:53:03, Humidity: 55.95, Temp: 74.10, TVOC: 6.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.044 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.84
2019-06-02 21:53:04, Humidity: 55.96, Temp: 74.10, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.46, 0.18, 0.22, 4.88
2019-06-02 21:53:07, Humidity: 55.98, Temp: 74.14, TVOC: 0.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.82
2019-06-02 21:53:07, Humidity: 55.95, Temp: 74.10, TVOC: 2.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.045 ppm, 0.86, 0.27, 0.07, 0.25, 0.47, 0.18, 0.21, 4.89
2019-06-02 21:53:08, Humidity: 55.95, Temp: 74.14, TVOC: 3.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.045 ppm, 0.86, 0.28, 0.07, 0.25, 0.46, 0.18, 0.22, 4.82
2019-06-02 21:53:09, Humidity: 55.97, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.046 ppm, 0.87, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.90
2019-06-02 21:53:10, Humidity: 55.95, Temp: 74.16, TVOC: 3.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.046 ppm, 0.87, 0.28, 0.07, 0.25, 0.46, 0.18, 0.22, 4.89
2019-06-02 21:53:13, Humidity: 55.95, Temp: 74.10, TVOC: 2.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.90
2019-06-02 21:53:13, Humidity: 55.95, Temp: 74.14, TVOC: 4.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.06, 0.25, 0.46, 0.18, 0.22, 4.86
2019-06-02 21:53:13, Humidity: 55.95, Temp: 74.14, TVOC: 2.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.047 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.84
2019-06-02 21:53:14, Humidity: 55.96, Temp: 74.12, TVOC: 0.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.047 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.90
2019-06-02 21:53:15, Humidity: 55.95, Temp: 74.14, TVOC: 8.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.047 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:53:18, Humidity: 55.97, Temp: 74.14, TVOC: 13.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.047 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.91
2019-06-02 21:53:18, Humidity: 55.95, Temp: 74.14, TVOC: 9.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.046 ppm, 0.84, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.88
2019-06-02 21:53:19, Humidity: 55.95, Temp: 74.18, TVOC: 6.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.046 ppm, 0.86, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.89
2019-06-02 21:53:20, Humidity: 55.95, Temp: 74.14, TVOC: 9.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.045 ppm, 0.85, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.86
2019-06-02 21:53:21, Humidity: 55.95, Temp: 74.14, TVOC: 11.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.045 ppm, 0.84, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 4.88
2019-06-02 21:53:24, Humidity: 55.94, Temp: 74.16, TVOC: 9.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.044 ppm, 0.85, 0.27, 0.06, 0.25, 0.47, 0.18, 0.21, 4.89
2019-06-02 21:53:24, Humidity: 55.93, Temp: 74.16, TVOC: 6.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.043 ppm, 0.86, 0.27, 0.07, 0.25, 0.47, 0.18, 0.22, 4.90
2019-06-02 21:53:24, Humidity: 55.94, Temp: 74.20, TVOC: 10.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.043 ppm, 0.85, 0.28, 0.07, 0.25, 0.47, 0.18, 0.22, 5.00
2019-06-02 21:53:25, Humidity: 55.93, Temp: 74.16, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.042 ppm, 0.86, 0.27, 0.07, 0.25, 0.47, 0.18, 0.22, 4.90
2019-06-02 21:53:26, Humidity: 55.91, Temp: 74.16, TVOC: 10.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.042 ppm, 0.85, 0.27, 0.07, 0.25, 0.47, 0.18, 0.22, 5.00
2019-06-02 21:53:30, Humidity: 55.89, Temp: 74.18, TVOC: 10.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.042 ppm, 0.85, 0.28, 0.07, 0.25, 0.46, 0.18, 0.22, 4.89
