2019-06-03 18:06:07, .07, Temp: 72.36, TVOC: 83.00 ppb, eCOtwo: 483.00 ppm, HCHO: 0.013 ppm, 0.66, 0.23, 0.05, 0.21, 0.39, 0.16, 0.18, 4.94
2019-06-03 18:06:07, dity: 33.07, Temp: 72.36, TVOC: 83.00 ppb, eCOtwo: 483.00 ppm, HCHO: 0.013 ppm, 0.66, 0.23, 0.05, 0.21, 0.39, 0.16, 0.18, 4.94
2019-06-03 18:06:09, setup done
2019-06-03 18:06:09, Humidity: 33.03, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.66, 0.23, 0.06, 0.21, 0.38, 0.16, 0.18, 4.84
2019-06-03 18:06:10, Humidity: 32.99, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.67, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:11, Humidity: 32.92, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.67, 0.23, 0.06, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:13, Humidity: 32.89, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.010 ppm, 0.66, 0.23, 0.05, 0.21, 0.38, 0.16, 0.18, 4.82
2019-06-03 18:06:14, Humidity: 32.83, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.009 ppm, 0.66, 0.22, 0.06, 0.21, 0.37, 0.16, 0.18, 4.88
2019-06-03 18:06:15, Humidity: 32.78, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.010 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:16, Humidity: 32.73, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.98
2019-06-03 18:06:17, Humidity: 32.71, Temp: 72.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.013 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.17, 0.18, 4.91
2019-06-03 18:06:18, Humidity: 32.66, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.015 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.17, 0.18, 4.88
2019-06-03 18:06:19, Humidity: 32.59, Temp: 72.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.66, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.84
2019-06-03 18:06:20, Humidity: 32.58, Temp: 72.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.017 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.86
2019-06-03 18:06:21, Humidity: 32.55, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:06:22, Humidity: 32.52, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:24, Humidity: 32.49, Temp: 72.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.86
2019-06-03 18:06:25, Humidity: 32.47, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:26, Humidity: 32.46, Temp: 72.36, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.87
2019-06-03 18:06:27, Humidity: 32.45, Temp: 72.38, TVOC: 3.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.017 ppm, 0.64, 0.23, 0.06, 0.21, 0.38, 0.16, 0.18, 5.00
2019-06-03 18:06:28, Humidity: 32.43, Temp: 72.40, TVOC: 3.00 ppb, eCOtwo: 430.00 ppm, HCHO: 0.016 ppm, 0.66, 0.22, 0.06, 0.21, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:06:31, Humidity: 32.41, Temp: 72.42, TVOC: 5.00 ppb, eCOtwo: 438.00 ppm, HCHO: 0.015 ppm, 0.66, 0.23, 0.06, 0.21, 0.38, 0.16, 0.18, 4.86
2019-06-03 18:06:31, Humidity: 32.43, Temp: 72.40, TVOC: 6.00 ppb, eCOtwo: 442.00 ppm, HCHO: 0.014 ppm, 0.66, 0.23, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:31, Humidity: 32.43, Temp: 72.36, TVOC: 10.00 ppb, eCOtwo: 456.00 ppm, HCHO: 0.013 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.84
2019-06-03 18:06:32, Humidity: 32.44, Temp: 72.42, TVOC: 2.00 ppb, eCOtwo: 463.00 ppm, HCHO: 0.012 ppm, 0.66, 0.23, 0.06, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:06:34, Humidity: 32.45, Temp: 72.40, TVOC: 14.00 ppb, eCOtwo: 462.00 ppm, HCHO: 0.012 ppm, 0.66, 0.23, 0.06, 0.22, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:06:35, Humidity: 32.46, Temp: 72.38, TVOC: 17.00 ppb, eCOtwo: 461.00 ppm, HCHO: 0.011 ppm, 0.66, 0.23, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
2019-06-03 18:06:36, Humidity: 32.45, Temp: 72.38, TVOC: 8.00 ppb, eCOtwo: 447.00 ppm, HCHO: 0.011 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.98
