2019-07-28 10:39:56, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:39:57, setup done
2019-07-28 10:39:58, Humidity: 72.40, Temp: 77.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.077 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:39:59, Humidity: 72.39, Temp: 77.83, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.077 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:00, Humidity: 72.34, Temp: 77.84, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.076 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:01, Humidity: 72.31, Temp: 77.86, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:02, Humidity: 72.26, Temp: 77.86, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:03, Humidity: 72.27, Temp: 77.90, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:04, Humidity: 72.25, Temp: 77.90, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.074 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:05, Humidity: 72.23, Temp: 77.92, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.073 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:06, Humidity: 72.23, Temp: 77.96, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.073 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:07, Humidity: 72.24, Temp: 77.96, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.072 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:09, Humidity: 72.26, Temp: 77.96, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.072 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:10, Humidity: 72.27, Temp: 77.96, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.072 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:11, Humidity: 72.24, Temp: 78.00, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.073 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:12, Humidity: 72.23, Temp: 78.04, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.073 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:13, Humidity: 72.17, Temp: 78.06, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.073 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:14, Humidity: 72.20, Temp: 78.06, TVOC: 0.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.074 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:15, Humidity: 72.13, Temp: 78.08, TVOC: 0.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:16, Humidity: 72.14, Temp: 78.06, TVOC: 1.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:17, Humidity: 72.13, Temp: 78.12, TVOC: 3.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:20, Humidity: 72.13, Temp: 78.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:20, Humidity: 72.16, Temp: 78.13, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:21, Humidity: 72.18, Temp: 78.17, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:22, Humidity: 72.25, Temp: 78.15, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:23, Humidity: 72.34, Temp: 78.15, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:24, Humidity: 72.44, Temp: 78.19, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.074 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:25, Humidity: 72.61, Temp: 78.19, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.074 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:26, Humidity: 72.75, Temp: 78.23, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.074 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:27, Humidity: 72.91, Temp: 78.27, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.074 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:28, Humidity: 73.07, Temp: 78.27, TVOC: 0.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:31, Humidity: 73.21, Temp: 78.25, TVOC: 0.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:31, Humidity: 73.36, Temp: 78.29, TVOC: 3.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:32, Humidity: 73.46, Temp: 78.29, TVOC: 0.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.076 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:33, Humidity: 73.59, Temp: 78.35, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.076 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:34, Humidity: 73.75, Temp: 78.37, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.077 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:35, Humidity: 73.89, Temp: 78.39, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:36, Humidity: 74.03, Temp: 78.39, TVOC: 0.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:37, Humidity: 74.11, Temp: 78.39, TVOC: 3.00 ppb, eCOtwo: 443.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:38, Humidity: 74.14, Temp: 78.44, TVOC: 2.00 ppb, eCOtwo: 451.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:39, Humidity: 74.19, Temp: 78.44, TVOC: 0.00 ppb, eCOtwo: 470.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:42, Humidity: 74.17, Temp: 78.46, TVOC: 0.00 ppb, eCOtwo: 483.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:42, Humidity: 74.19, Temp: 78.50, TVOC: 0.00 ppb, eCOtwo: 470.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:43, Humidity: 74.20, Temp: 78.46, TVOC: 0.00 ppb, eCOtwo: 462.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:44, Humidity: 74.20, Temp: 78.50, TVOC: 7.00 ppb, eCOtwo: 470.00 ppm, HCHO: 0.076 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:45, Humidity: 74.18, Temp: 78.54, TVOC: 4.00 ppb, eCOtwo: 469.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
