2019-07-30 22:29:46, setup done
2019-07-30 22:29:46, Humidity: 68.52, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:47, Humidity: 68.52, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:48, Humidity: 68.50, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:49, Humidity: 68.52, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:50, Humidity: 68.53, Temp: 72.40, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:51, Humidity: 68.54, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:53, Humidity: 68.55, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:54, Humidity: 68.54, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:55, Humidity: 68.55, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:56, Humidity: 68.54, Temp: 72.40, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:57, Humidity: 68.57, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:58, Humidity: 68.57, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:29:59, Humidity: 68.61, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:00, Humidity: 68.59, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:01, Humidity: 68.60, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:02, Humidity: 68.63, Temp: 72.40, TVOC: 0.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:04, Humidity: 68.63, Temp: 72.40, TVOC: 0.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:05, Humidity: 68.63, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.178 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
