Mon:12:45:21, ppb, eCOtwo: 400.00 ppm, HCHO: 0.463 ppm, 1.47, 0.46, 0.08, 0.28, 0.51, 0.16, 0.20, 4.99
Mon:12:45:21, idity: 47.95, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.463 ppm, 1.47, 0.46, 0.08, 0.28, 0.51, 0.16, 0.20, 4.99
Mon:12:45:22, setup done
Mon:12:45:22, Humidity: 47.95, Temp: 74.89, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.462 ppm, 1.46, 0.46, 0.08, 0.28, 0.51, 0.16, 0.20, 4.93
Mon:12:45:23, Humidity: 47.93, Temp: 74.78, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.461 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:45:24, Humidity: 47.91, Temp: 74.83, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.461 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
Mon:12:45:26, Humidity: 47.93, Temp: 74.78, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.459 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:45:27, Humidity: 47.92, Temp: 74.78, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.459 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:45:28, Humidity: 47.90, Temp: 74.78, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.458 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:45:29, Humidity: 47.91, Temp: 74.79, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.456 ppm, 1.44, 0.47, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:45:30, Humidity: 47.93, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.456 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:45:31, Humidity: 47.91, Temp: 74.79, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.455 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:45:32, Humidity: 47.93, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.455 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.88
Mon:12:45:33, Humidity: 47.90, Temp: 74.85, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.454 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.84
Mon:12:45:34, Humidity: 47.90, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.454 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:45:35, Humidity: 47.90, Temp: 74.79, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.452 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:45:38, Humidity: 47.90, Temp: 74.79, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.452 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:45:38, Humidity: 47.88, Temp: 74.85, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.451 ppm, 1.47, 0.47, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:45:39, Humidity: 47.89, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.451 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:45:40, Humidity: 47.88, Temp: 74.83, TVOC: 6.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
Mon:12:45:41, Humidity: 47.88, Temp: 74.87, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.99
Mon:12:45:44, Humidity: 47.86, Temp: 74.83, TVOC: 9.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:45:44, Humidity: 47.85, Temp: 74.87, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.452 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:45:44, Humidity: 47.83, Temp: 74.85, TVOC: 2.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.92
Mon:12:45:45, Humidity: 47.84, Temp: 74.85, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.452 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.95
Mon:12:45:47, Humidity: 47.81, Temp: 74.81, TVOC: 7.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:45:49, Humidity: 47.81, Temp: 74.83, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.91
Mon:12:45:49, Humidity: 47.79, Temp: 74.83, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.97
