Mon:11:00:36, Humidity: 46.17, Temp: 76.92, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:00:37, Humidity: 46.17, Temp: 76.92, TVOC: 7.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:00:38, Humidity: 46.17, Temp: 76.92, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.47, 0.43, 0.09, 0.30, 0.52, 0.16, 0.21, 4.91
Mon:11:00:39, Humidity: 46.19, Temp: 76.88, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:00:40, Humidity: 46.18, Temp: 76.88, TVOC: 10.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:00:41, Humidity: 46.18, Temp: 76.92, TVOC: 9.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:00:42, Humidity: 46.18, Temp: 76.92, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:00:43, Humidity: 46.16, Temp: 76.88, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:00:44, Humidity: 46.17, Temp: 76.88, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:00:45, Humidity: 46.17, Temp: 76.88, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:00:47, Humidity: 46.17, Temp: 76.90, TVOC: 8.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
